"Site","Plot_number","Treatment","Tree_number","Species","Height_year_1","Height_year_2","Height_year_3","BA_year_3","DBH_year_3","Mortality_year_1","Mortality_year_2","WD","WD_source"
"LLFS",3,"M1",29,"Inga edulis",NA,273,610,99.94968585,11.2809526418684,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",30,"Inga edulis",NA,290,621,158.3675519,14.1999940028853,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",31,"Inga edulis",NA,298,695,149.641785675,13.8032546548339,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",32,"Inga edulis",NA,308,695,77.4401935,9.92974907619235,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",33,"Inga edulis",NA,274,665,78.421940375,9.99249296523711,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",34,"Inga edulis",NA,224,600,93.155997475,10.8908172243601,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",35,"Inga edulis",NA,140,400,10.312269175,3.62353265606417,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",36,"Inga edulis",NA,256,580,62.59618075,8.9274818779032,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",37,"Inga edulis",NA,190,560,17.35728475,4.70106172400752,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",38,"Inga edulis",NA,184,564,22.187479375,5.31507066164184,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",39,"Inga edulis",NA,294,680,83.951138775,10.338757648474,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",40,"Inga edulis",NA,205,592,43.801618575,7.46792828655285,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",41,"Inga edulis",NA,264,603,166.6613495,14.5670800355572,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",42,"Inga edulis",NA,218,675,93.674359825,10.9210759202993,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",43,"Inga edulis",NA,200,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",44,"Inga edulis",NA,304,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",45,"Inga edulis",NA,322,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",46,"Inga edulis",NA,260,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",47,"Inga edulis",NA,228,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",48,"Inga edulis",NA,260,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",49,"Inga edulis",NA,262,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",2,"Inga edulis",NA,225,359,145.03150235,13.5889603731989,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",3,"Inga edulis",NA,256,610,140.656838275,13.3824455436646,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",4,"Inga edulis",NA,189,535,31.730059,6.35609674844396,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",5,"Inga edulis",NA,25,575,149.908820825,13.8155650908317,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",6,"Inga edulis",NA,173,402,19.8862647,5.03189612503189,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
