rowID,accepted_bin,family,spp,where,LAT,LON,nFix,dispersal,Fruit type,Selection,Bark thickness,Conduit diameter,Crown diameter,Crown height,Leaf area,Leaf density,Leaf K,Leaf N,Leaf P,Leaf thickness,Leaf Vcmax,Root depth,Seed dry mass,Specific leaf area,Stem diameter,Stomatal conductance,Tree height,Wood density
80,Sapindus saponaria,Sapindaceae,SAPSAP,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.52,-0.8064,-1.2317,-1.0785,-0.1824,1.2403,1.2694,-0.2076,0.7158,-0.2339,-0.3756,1.1385,0.4689,1.2054,-2.3218,-2.2371,-1.5356,1.1509
81,Senna papillosa,Leguminosae,SENPAP,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.0547,0.8771,1.169,1.0293,0.9933,-0.5739,0.2128,1.0283,0.6384,-1.2954,0.6737,-1.0631,0.4839,1.036,-0.2244,1.5476,-0.4812,-0.1946
82,Senna reticulata,Leguminosae,SENRET,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.0711,0.8771,1.169,1.0293,1.0108,-0.5739,0.2128,1.0277,0.6368,-1.2852,0.6731,-1.0938,0.4895,1.0093,-0.2446,1.5476,-0.4812,-0.1242
83,Senna reticulata,Leguminosae,SENRET,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.7004,1.2453,1.02,-0.2972,-0.7904,1.9122,0.331,0.9027,0.032,-1.1384,0.4865,0.5771,0.5711,1.2217,-1.7773,-0.1421,-1.1949,0.7717
84,Simarouba amara,Simaroubaceae,SIMAMA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.2662,-0.3998,-0.9235,0.1699,0.7436,-0.6507,0.1734,-0.3936,0.2054,0.2881,-0.1438,-0.4714,-0.0295,-0.4955,0.7446,0.4279,0.825,0.1617
85,Spondias mombin,Anacardiaceae,SPOMOM,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.1571,-0.2012,-1.182,-1.0785,-0.4216,1.7621,0.2249,-0.8078,-0.3053,-0.3158,-0.7987,1.0704,0.4731,0.4342,-1.8634,-2.0027,-1.1949,0.1908
86,Sterculia recordiana,Malvaceae,STEREC,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Other,Other,,2.5404,0.7567,-0.8074,-0.7614,-0.1762,0.5114,0.9525,-0.476,-0.0044,0.2391,0.9325,0.2992,0.4957,0.2693,-0.6537,-0.4191,-1.1949,-0.7185
87,Swietenia humilis,Meliaceae,SWIHUM,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.9211,-0.8104,-0.7573,-0.2175,1.209,-1.0133,0.001,0.0638,0.3191,-0.1977,-0.2474,1.0704,-0.1236,0.0117,0.7446,0.0037,0.4958,0.4375
88,Swietenia macrophylla,Meliaceae,SWIMAC,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.9211,-0.8104,-0.7573,-0.2175,1.209,-1.0133,0.001,0.0638,0.3191,-0.1977,-0.2474,1.0704,-0.1236,0.0117,0.7446,0.0037,0.4958,0.4375
89,Tabernaemontana litoralis,Apocynaceae,TABLIT,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.5534,-0.7491,-0.742,0.1276,-0.1219,-0.9947,0.9884,-0.1878,0.1388,0.5189,0.672,-0.8774,-2.1597,-0.0158,1.389,0.745,0.4958,0.0092
90,Tapirira mexicana,Anacardiaceae,TAPMEX,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.6318,-0.6777,-0.9334,-0.626,1.3448,0.3893,-0.3248,-0.9194,-0.6213,0.5827,-1.2026,-0.1667,0.2983,-0.9787,0.5309,0.3169,0.4958,0.3783
91,Terminalia amazonia,Combretaceae,TERAMA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.1184,-0.4665,-0.9958,0.1699,-0.2169,-0.4132,-0.4707,-0.629,-0.4241,0.433,0.8704,-1.4177,-1.6118,-0.4381,1.5516,0.7983,1.2522,1.0411
92,Terminalia amazonia,Combretaceae,TERAMA,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Other,Wind,,0.0265,-0.5507,-1.8049,-1.0189,-1.3966,1.0049,-0.4561,-1.0175,-1.0568,0.3493,0.227,-0.7583,-0.5039,-0.2682,-0.1254,-0.7667,0.1494,1.1908
93,Trophis mexicana,Moraceae,TROMEX,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.4109,0.1484,0.2923,1.0614,0.2197,-0.0411,-0.8652,-0.6101,-0.0521,0.287,0.4335,-0.2184,0.1018,-0.1063,0.95,0.526,1.389,1.1722
94,Ulmus mexicana,Ulmaceae,ULMMEX,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,Yes,1.4437,0.4587,0.4621,1.6431,0.17,0.0493,-1.1037,-0.2401,-0.5714,0.1817,0.7883,0.8174,-0.0661,-0.2945,1.3158,0.8815,1.5329,0.6224
